Municípios,Estado
Almirante Tamandaré,Paraná
Apucarana,Paraná
Arapongas,Paraná
Araucária,Paraná
Cambé,Paraná
Campo Largo,Paraná
Campo Mourão,Paraná
Cascavel,Paraná
Castro,Paraná
Cianorte,Paraná
Colombo,Paraná
Curitiba,Paraná
Fazenda Rio Grande,Paraná
Foz do Iguaçu,Paraná
Francisco Beltrão,Paraná
Guarapuava,Paraná
Ibiporã,Paraná
Irati,Paraná
Londrina,Paraná
Marechal Cândido Rondon,Paraná
Maringá,Paraná
Palmas,Paraná
Paranaguá,Paraná
Paranavaí,Paraná
Pato Branco,Paraná
Pinhais,Paraná
Piraquara,Paraná
Ponta Grossa,Paraná
Prudentópolis,Paraná
Rolândia,Paraná
São José dos Pinhais,Paraná
Telêmaco Borba,Paraná
Toledo,Paraná
Umuarama,Paraná
União da Vitória,Paraná
Abatiá,Paraná
Adrianópolis,Paraná
Agudos do Sul,Paraná
Altamira do Paraná,Paraná
Altônia,Paraná
Alto Paraíso,Paraná
Alto Paraná,Paraná
Alto Piquiri,Paraná
Alvorada do Sul,Paraná
Amaporã,Paraná
Ampére,Paraná
Anahy,Paraná
Andirá,Paraná
Ângulo,Paraná
Antonina,Paraná
Antônio Olinto,Paraná
Arapoti,Paraná
Arapuã,Paraná
Araruna,Paraná
Ariranha do Ivaí,Paraná
Assaí,Paraná
Assis Chateaubriand,Paraná
Astorga,Paraná
Atalaia,Paraná
Balsa Nova,Paraná
Bandeirantes,Paraná
Barbosa Ferraz,Paraná
Barracão,Paraná
Barra do Jacaré,Paraná
Bela Vista da Caroba,Paraná
Bela Vista do Paraíso,Paraná
Bituruna,Paraná
Boa Esperança,Paraná
Boa Esperança do Iguaçu,Paraná
Boa Ventura de São Roque,Paraná
Boa Vista da Aparecida,Paraná
Bocaiúva do Sul,Paraná
Bom Jesus do Sul,Paraná
Bom Sucesso,Paraná
Bom Sucesso do Sul,Paraná
Borrazópolis,Paraná
Braganey,Paraná
Brasilândia do Sul,Paraná
Cafeara,Paraná
Cafelândia,Paraná
Cafezal do Sul,Paraná
Califórnia,Paraná
Cambará,Paraná
Cambira,Paraná
Campina da Lagoa,Paraná
Campina do Simão,Paraná
Campina Grande do Sul,Paraná
Campo Bonito,Paraná
Campo do Tenente,Paraná
Campo Magro,Paraná
Cândido de Abreu,Paraná
Candói,Paraná
Cantagalo,Paraná
Capanema,Paraná
Capitão Leônidas Marques,Paraná
Carambeí,Paraná
Carlópolis,Paraná
Catanduvas,Paraná
Centenário do Sul,Paraná
Cerro Azul,Paraná
Céu Azul,Paraná
Chopinzinho,Paraná
Cidade Gaúcha,Paraná
Clevelândia,Paraná
Colorado,Paraná
Congonhinhas,Paraná
Conselheiro Mairinck,Paraná
Contenda,Paraná
Corbélia,Paraná
Cornélio Procópio,Paraná
Coronel Domingos Soares,Paraná
Coronel Vivida,Paraná
Corumbataí do Sul,Paraná
Cruzeiro do Iguaçu,Paraná
Cruzeiro do Oeste,Paraná
Cruzeiro do Sul,Paraná
Cruz Machado,Paraná
Cruzmaltina,Paraná
Curiúva,Paraná
Diamante D Oeste,Paraná
Diamante do Norte,Paraná
Diamante do Sul,Paraná
Dois Vizinhos,Paraná
Douradina,Paraná
Doutor Camargo,Paraná
Doutor Ulysses,Paraná
Enéas Marques,Paraná
Engenheiro Beltrão,Paraná
Entre Rios do Oeste,Paraná
Esperança Nova,Paraná
Espigão Alto do Iguaçu,Paraná
Farol,Paraná
Faxinal,Paraná
Fênix,Paraná
Fernandes Pinheiro,Paraná
Figueira,Paraná
Floraí,Paraná
Flor da Serra do Sul,Paraná
Floresta,Paraná
Florestópolis,Paraná
Flórida,Paraná
Formosa do Oeste,Paraná
Foz do Jordão,Paraná
Francisco Alves,Paraná
General Carneiro,Paraná
Godoy Moreira,Paraná
Goioerê,Paraná
Goioxim,Paraná
Grandes Rios,Paraná
Guaíra,Paraná
Guairaçá,Paraná
Guamiranga,Paraná
Guapirama,Paraná
Guaporema,Paraná
Guaraci,Paraná
Guaraniaçu,Paraná
Guaraqueçaba,Paraná
Guaratuba,Paraná
Honório Serpa,Paraná
Ibaiti,Paraná
Ibema,Paraná
Icaraíma,Paraná
Iguatu,Paraná
Imbaú,Paraná
Imbituva,Paraná
Inácio Martins,Paraná
Inajá,Paraná
Indianópolis,Paraná
Ipiranga,Paraná
Iporã,Paraná
Iracema do Oeste,Paraná
Iretama,Paraná
Itaguajé,Paraná
Itaipulândia,Paraná
Itambaracá,Paraná
Itambé,Paraná
Itapejara D Oeste,Paraná
Itaperuçu,Paraná
Itaúna do Sul,Paraná
Ivaí,Paraná
Ivaiporã,Paraná
Ivaté,Paraná
Ivatuba,Paraná
Jaboti,Paraná
Jacarezinho,Paraná
Jaguapitã,Paraná
Jaguariaíva,Paraná
Jandaia do Sul,Paraná
Janiópolis,Paraná
Japira,Paraná
Japurá,Paraná
Jardim Alegre,Paraná
Jardim Olinda,Paraná
Jataizinho,Paraná
Jesuítas,Paraná
Joaquim Távora,Paraná
Jundiaí do Sul,Paraná
Juranda,Paraná
Jussara,Paraná
Kaloré,Paraná
Lapa,Paraná
Laranjal,Paraná
Laranjeiras do Sul,Paraná
Leópolis,Paraná
Lidianópolis,Paraná
Lindoeste,Paraná
Loanda,Paraná
Lobato,Paraná
Luiziana,Paraná
Lunardelli,Paraná
Lupionópolis,Paraná
Mallet,Paraná
Mamborê,Paraná
Mandaguaçu,Paraná
Mandaguari,Paraná
Mandirituba,Paraná
Manfrinópolis,Paraná
Mangueirinha,Paraná
Manoel Ribas,Paraná
Maria Helena,Paraná
Marialva,Paraná
Marilândia do Sul,Paraná
Marilena,Paraná
Mariluz,Paraná
Mariópolis,Paraná
Maripá,Paraná
Marmeleiro,Paraná
Marquinho,Paraná
Marumbi,Paraná
Matelândia,Paraná
Matinhos,Paraná
Mato Rico,Paraná
Mauá da Serra,Paraná
Medianeira,Paraná
Mercedes,Paraná
Mirador,Paraná
Miraselva,Paraná
Missal,Paraná
Moreira Sales,Paraná
Morretes,Paraná
Munhoz de Melo,Paraná
Nossa Senhora das Graças,Paraná
Nova Aliança do Ivaí,Paraná
Nova América da Colina,Paraná
Nova Aurora,Paraná
Nova Cantu,Paraná
Nova Esperança,Paraná
Nova Esperança do Sudoeste,Paraná
Nova Fátima,Paraná
Nova Laranjeiras,Paraná
Nova Londrina,Paraná
Nova Olímpia,Paraná
Nova Prata do Iguaçu,Paraná
Nova Santa Bárbara,Paraná
Nova Santa Rosa,Paraná
Nova Tebas,Paraná
Novo Itacolomi,Paraná
Ortigueira,Paraná
Ourizona,Paraná
Ouro Verde do Oeste,Paraná
Paiçandu,Paraná
Palmeira,Paraná
Palmital,Paraná
Palotina,Paraná
Paraíso do Norte,Paraná
Paranacity,Paraná
Paranapoema,Paraná
Pato Bragado,Paraná
Paula Freitas,Paraná
Paulo Frontin,Paraná
Peabiru,Paraná
Perobal,Paraná
Pérola,Paraná
Pérola D Oeste,Paraná
Piên,Paraná
Pinhalão,Paraná
Pinhal de São Bento,Paraná
Pinhão,Paraná
Piraí do Sul,Paraná
Pitanga,Paraná
Pitangueiras,Paraná
Planaltina do Paraná,Paraná
Planalto,Paraná
Pontal do Paraná,Paraná
Porecatu,Paraná
Porto Amazonas,Paraná
Porto Barreiro,Paraná
Porto Rico,Paraná
Porto Vitória,Paraná
Prado Ferreira,Paraná
Pranchita,Paraná
Presidente Castelo Branco,Paraná
Primeiro de Maio,Paraná
Quarto Centenário,Paraná
Quatiguá,Paraná
Quatro Barras,Paraná
Quatro Pontes,Paraná
Quedas do Iguaçu,Paraná
Querência do Norte,Paraná
Quinta do Sol,Paraná
Quitandinha,Paraná
Ramilândia,Paraná
Rancho Alegre,Paraná
Rancho Alegre D Oeste,Paraná
Realeza,Paraná
Rebouças,Paraná
Renascença,Paraná
Reserva,Paraná
Reserva do Iguaçu,Paraná
Ribeirão Claro,Paraná
Ribeirão do Pinhal,Paraná
Rio Azul,Paraná
Rio Bom,Paraná
Rio Bonito do Iguaçu,Paraná
Rio Branco do Ivaí,Paraná
Rio Branco do Sul,Paraná
Rio Negro,Paraná
Roncador,Paraná
Rondon,Paraná
Rosário do Ivaí,Paraná
Sabáudia,Paraná
Salgado Filho,Paraná
Salto do Itararé,Paraná
Salto do Lontra,Paraná
Santa Amélia,Paraná
Santa Cecília do Pavão,Paraná
Santa Cruz de Monte Castelo,Paraná
Santa Fé,Paraná
Santa Helena,Paraná
Santa Inês,Paraná
Santa Isabel do Ivaí,Paraná
Santa Izabel do Oeste,Paraná
Santa Lúcia,Paraná
Santa Maria do Oeste,Paraná
Santa Mariana,Paraná
Santa Mônica,Paraná
Santana do Itararé,Paraná
Santa Tereza do Oeste,Paraná
Santa Terezinha de Itaipu,Paraná
Santo Antônio da Platina,Paraná
Santo Antônio do Caiuá,Paraná
Santo Antônio do Sudoeste,Paraná
Santo Inácio,Paraná
São Carlos do Ivaí,Paraná
São Jerônimo da Serra,Paraná
São João,Paraná
São João do Caiuá,Paraná
São João do Ivaí,Paraná
São João do Triunfo,Paraná
São Jorge D Oeste,Paraná
São Jorge do Ivaí,Paraná
São Jorge do Patrocínio,Paraná
São José da Boa Vista,Paraná
São José das Palmeiras,Paraná
São Manoel do Paraná,Paraná
São Mateus do Sul,Paraná
São Miguel do Iguaçu,Paraná
São Pedro do Iguaçu,Paraná
São Pedro do Ivaí,Paraná
São Pedro do Paraná,Paraná
São Sebastião da Amoreira,Paraná
São Tomé,Paraná
Sapopema,Paraná
Saudade do Iguaçu,Paraná
Sengés,Paraná
Serranópolis do Iguaçu,Paraná
Sertaneja,Paraná
Sertanópolis,Paraná
Siqueira Campos,Paraná
Sulina,Paraná
Tamarana,Paraná
Tamboara,Paraná
Tapejara,Paraná
Tapira,Paraná
Teixeira Soares,Paraná
Terra Boa,Paraná
Terra Rica,Paraná
Terra Roxa,Paraná
Tibagi,Paraná
Tijucas do Sul,Paraná
Tomazina,Paraná
Três Barras do Paraná,Paraná
Tunas do Paraná,Paraná
Tuneiras do Oeste,Paraná
Tupãssi,Paraná
Turvo,Paraná
Ubiratã,Paraná
Uniflor,Paraná
Uraí,Paraná
Ventania,Paraná
Vera Cruz do Oeste,Paraná
Verê,Paraná
Virmond,Paraná
Vitorino,Paraná
Wenceslau Braz,Paraná
Xambrê,Paraná
